Nome,ALG FTP,FM 23-24,FM 22-23,FM 21-22,attributi,Res. Inf.
Del Prato,77/100,6.21,nd,nd,"['Outsider', 'Titolare', 'Assistman']",60%
OTOA,41/100,4.67,nd,nd,"['Panchinaro', 'Giovane talento']",60%
RICHARDSON,70/100,5.83,nd,nd,"['Panchinaro', 'Giovane talento']",60%
SANTANA,68/100,nd,nd,nd,"['Outsider', 'Titolare', 'Rigorista', 'Giovane talento']",80%
TOMORI,75/100,5.79,6.37,6.09,"['Titolare', 'Buona Media']",60%
MOSQUERA,65/100,5.97,nd,nd,"['Titolare', 'Rigorista']",60%
PALESTRA,55/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",60%
PAVARD,67/100,6.05,6.28,nd,"['Titolare', 'Buona Media']",60%
JASHARI,71/100,nd,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",100%
FREULER,86/100,6.17,6.08,nd,['Titolare'],40%
GINEITIS,61/100,6.22,6.20,nd,"['Panchinaro', 'Giovane talento']",60%
BERNABE,66/100,6.47,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati', 'Giovane talento']",60%
ADOPO,66/100,5.91,6.00,5.75,['Titolare'],60%
SULEMANA,76/100,nd,nd,nd,"['Titolare', 'Assistman', 'Piazzati']",40%
MOREO,56/100,nd,nd,nd,['Panchinaro'],80%
POPA,50/100,nd,nd,nd,"['Panchinaro', 'Buona Media']",60%
KRISTENSEN,58/100,5.65,5.73,nd,"['Panchinaro', 'Giovane talento']",40%
JIMENEZ,66/100,5.83,nd,nd,"['Panchinaro', 'Giovane talento']",60%
CAMARA,46/100,5.92,nd,nd,"['Panchinaro', 'Falloso', 'Giovane talento']",40%
AUGUSTO,89/100,6.67,6.21,6.76,"['Panchinaro', 'Buona Media', 'Piazzati']",60%
LAZARO,65/100,5.97,6.07,6.05,"['Outsider', 'Panchinaro']",60%
RAFIA,57/100,5.74,5.87,nd,"['Panchinaro', 'Piazzati']",40%
CORAZZA,45/100,nd,6.00,nd,"['Panchinaro', 'Giovane talento']",60%
FAZZINI,79/100,7.03,5.98,5.80,"['Outsider', 'Panchinaro', 'Buona Media', 'Goleador', 'Piazzati']",80%
MASINA,74/100,6.14,5.81,6.36,"['Titolare', 'Falloso']",60%
MULLEN,55/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",60%
COCO,67/100,5.81,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Falloso']",60%
ATTA,61/100,5.89,nd,nd,"['Panchinaro', 'Goleador', 'Giovane talento']",60%
LUVUMBO,72/100,6.30,6.76,nd,"['Titolare', 'Giovane talento']",60%
KARLSTROM,68/100,5.79,nd,nd,"['Titolare', 'Buona Media']",60%
MALINOVSKYI,71/100,6.50,6.50,6.38,"['Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati']",80%
CYPRIEN,49/100,5.75,nd,nd,['Panchinaro'],60%
MISSORI,48/100,nd,5.60,nd,"['Titolare', 'Buona Media', 'Giovane talento']",60%
MODRIC,78/100,nd,nd,nd,"['Fuoriclasse', 'Titolare', 'Assistman', 'Rigorista', 'Piazzati']",60%
VIGORITO,41/100,nd,nd,nd,['Panchinaro'],80%
BARELLA,91/100,6.65,6.59,6.86,"['Fuoriclasse', 'Titolare', 'Buona Media']",80%
BIANCHETTI,55/100,nd,nd,5.60,['Titolare'],60%
SCUFFET,54/100,4.23,4.28,nd,['Titolare'],60%
ILKHAN,56/100,nd,nd,5.75,"['Panchinaro', 'Goleador', 'Assistman', 'Piazzati', 'Giovane talento']",60%
ZALEWSKI,76/100,6.22,5.76,6.16,"['Panchinaro', 'Assistman', 'Falloso', 'Giovane talento']",60%
GORTER,48/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",80%
ZAPPACOSTA,73/100,6.27,6.07,6.64,"['Panchinaro', 'Buona Media', 'Assistman']",60%
ROMAGNOLI,76/100,5.90,5.83,6.29,"['Titolare', 'Buona Media']",60%
POLITANO,83/100,6.47,6.96,6.54,"['Titolare', 'Buona Media', 'Goleador', 'Piazzati']",80%
N/A,N/A,N/A,N/A,N/A,[],N/A
ESTEVEZ,49/100,5.71,nd,nd,"['Panchinaro', 'Falloso']",60%
ESPOSITO,63/100,6.69,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Goleador']",80%
ADAMS,78/100,6.70,nd,nd,"['Outsider', 'Titolare', 'Goleador', 'Rigorista', 'Piazzati']",60%
CELIK,78/100,5.75,5.80,5.71,"['Titolare', 'Buona Media', 'Falloso']",60%
SERNICOLA,58/100,nd,nd,5.95,['Titolare'],20%
LEAO,91/100,7.16,7.39,7.90,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman']",60%
LIND,53/100,nd,nd,nd,['Panchinaro'],80%
