Nome,Squadra,Presenze,MediaVoto,Fantamedia,Gol,GolSubiti,Rigori,RigoriParati,Assist,Ammonizioni,Espulsioni
Helgason,LEC,17.0,6.03,6.26,0.0,0.0,0 / 0,0.0,4.0,0.0,0.0
Sarr A.,VER,29.0,5.86,6.26,4.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Luvumbo,CAG,26.0,5.98,6.25,2.0,0.0,0 / 0,0.0,2.0,2.0,0.0
Vitinha O.,GEN,22.0,5.89,6.25,2.0,0.0,0 / 0,0.0,3.0,2.0,0.0
Mkhitaryan,INT,32.0,6.06,6.25,1.0,0.0,0 / 0,0.0,5.0,4.0,0.0
Cabal,JUV,6.0,6.33,6.25,0.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Pobega,BOL,20.0,6.05,6.25,2.0,0.0,0 / 0,0.0,2.0,4.0,2.0
Valeri,PAR,34.0,5.94,6.25,2.0,0.0,1 / 1,0.0,5.0,1.0,0.0
Perez N.,UDI,2.0,6.25,6.25,0.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Samardzic,ATA,28.0,6.09,6.25,2.0,0.0,0 / 0,0.0,0.0,3.0,0.0
Tiago Gabriel,LEC,2.0,6.25,6.25,0.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Andersen M.K.,VEN,13.0,5.96,6.23,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Zaniolo,FIO,18.0,6.03,6.22,2.0,0.0,0 / 0,0.0,1.0,6.0,1.0
Freuler,BOL,37.0,6.19,6.22,1.0,0.0,0 / 0,0.0,1.0,6.0,0.0
Parisi,FIO,20.0,6.0,6.22,2.0,0.0,0 / 0,0.0,0.0,3.0,0.0
Taremi,INT,18.0,5.97,6.22,1.0,0.0,1 / 1,0.0,2.0,1.0,0.0
Spinazzola,NAP,23.0,6.07,6.22,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Kabasele,UDI,16.0,5.84,6.22,2.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Fofana Y.,MIL,34.0,6.03,6.22,1.0,0.0,0 / 0,0.0,6.0,5.0,0.0
Martinez Quarta,FIO,7.0,5.86,6.21,1.0,0.0,0 / 0,0.0,0.0,1.0,0.0
