Squadra,Ruolo,Slot,Nomi
Udinese,D,3,Solet
Udinese,C,1,Vojvoda
Udinese,C,2,Piotrowski|Unai Gomez
Udinese,C,3,Karlstrom
Udinese,C,4,Kamara H.
Udinese,A,1,Zaniolo
Udinese,A,2,Ekkelenkamp
Venezia,P,1,Stankovic F.
Venezia,D,1,Schingtienne
Venezia,D,2,Bella-Kotchap
Venezia,D,3,Moreno M.
Venezia,C,1,Correia T.|Hainaut
Venezia,C,2,Basic
Venezia,C,3,Busio
Venezia,C,4,Sohm
Venezia,C,5,Haps
Venezia,A,1,Adams A.|Rrahmani Al.
Venezia,A,2,Yeboah J
